id,gender,Category,baseColour,season,season2,usage,productDisplayName
1951,Women,Footwear,Purple,Autumn,Spring,Sports,Puma Women Eco Funky Shoes
1962,Men,Footwear,White,Autumn,,Sports,ADIDAS Men's Duramo Leather Shoe
1963,Men,Footwear,White,Autumn,,Sports,ADIDAS Men's Azaro White Shoe
1964,Men,Footwear,Blue,Winter,,Casual,ADIDAS Men's Blue Canvas Shoe
2197,Men,Footwear,White,Autumn,,Sports,ADIDAS Men's Stripe White Run Shoe
2198,Men,Footwear,White,Autumn,,Sports,ADIDAS Men's Sports Shoe
2199,Women,Footwear,Blue,Autumn,Spring,Casual,ADIDAS Women Streaks Blue Shoe
2208,Men,Footwear,Black,Autumn,,Casual,Puma Mens Drifter Black Flip Flop
2211,Men,Footwear,Navy Blue,Autumn,,Casual,Puma Men Trek Navy Blue Floater
2213,Men,Footwear,Brown,Autumn,,Casual,Puma Men Brown Sandal
2215,Men,Footwear,Olive,Autumn,,Sports,Puma Men Gypsy Olive Sandals
2218,Men,Footwear,Black,Autumn,,Casual,Puma Men F1 Black Sandal
2219,Men,Footwear,Black,Autumn,,Casual,ADIDAS Men's Black Shoe
2220,Men,Footwear,Black,Autumn,,Sports,Puma Men Carbon Black Sandal
2224,Men,Footwear,Green,Autumn,,Casual,Puma Men's Trek Olive Green Sandal
2225,Men,Footwear,Black,Autumn,,Sports,Puma Men Trek Black Sandal
2227,Men,Footwear,Grey,Autumn,,Sports,Puma Men Gypsy Grey Sandal
2230,Men,Footwear,Black,Autumn,,Casual,Puma Men Cruise Black Sandal
2231,Men,Footwear,Grey,Autumn,,Sports,Puma Men Grey Sandal
2233,Men,Footwear,Black,Autumn,,Casual,Puma Men Carbon Sandal
2235,Men,Footwear,Black,Autumn,,Sports,Puma Men Gypsy Black Sandal
2238,Men,Footwear,Black,Autumn,,Casual,Puma Men's Winglet Grey Navy Flip Flop
2248,Men,Footwear,Black,Autumn,,Sports,Puma Men's Drifter Black Green Flip Flops
2250,Men,Footwear,Red,Autumn,,Casual,Puma Mens Winglet Red Flip Flop
2251,Men,Footwear,Brown,Autumn,,Casual,Puma Mens Winglet Brown Flip Flop
2260,Men,Topwear,Black,Autumn,,Casual,Nike Mens Blue Polo T-shirt
2265,Women,Topwear,Orange,Autumn,,Sports,Nike Womens NIKE MILER SS TOP T-shirt
2266,Women,Topwear,Green,Autumn,,Sports,Nike Green Women T-shirt
2267,Women,Topwear,Pink,Autumn,,Sports,Nike Pink Women T-shirt
2268,Women,Topwear,Grey,Autumn,,Sports,Nike Grey Women Sweatshirt
2269,Women,Topwear,Green,Autumn,,Sports,Nike Light Green Women T-shirt
2270,Women,Topwear,Pink,Autumn,,Casual,Nike JDI Pink Women T-shirt
2271,Men,Topwear,Red,Autumn,,Sports,Nike Mens Red Polo T-shirt
2272,Men,Topwear,Blue,Autumn,,Sports,Nike Mens Blue Polo T-shirt
2273,Men,Topwear,Red,Summer,,Sports,Nike Mens Red Polo T-shirt
2274,Men,Topwear,White,Autumn,,Sports,Nike Mens AS White T-shirt
2275,Men,Topwear,White,Autumn,,Sports,Nike Mens Challenger Graphic White T-shirt
2276,Men,Topwear,Blue,Autumn,,Sports,Nike Mens Challenger Graphic Blue T-shirt
2278,Men,Topwear,White,Autumn,,Sports,Nike Mens Sphere White T-shirt
2279,Men,Topwear,Red,Autumn,,Sports,Nike Mens Nike Sphere Red T-shirt
2280,Women,Topwear,Pink,Autumn,,Sports,Nike Womens Sphere Pink T-shirt
2282,Men,Topwear,Grey,Autumn,,Sports,Nike Men Grey T-shirt
2283,Men,Topwear,Black,Spring,,Sports,Nike Men Poly Black T-shirt
2284,Men,Topwear,Yellow,Autumn,,Sports,Nike Men Yellow T-shirt
2285,Men,Topwear,Purple,Autumn,,Sports,Nike Men Lavender T-shirt
2286,Men,Topwear,Black,Autumn,,Sports,Nike Men Black Sweatshirt
2287,Men,Topwear,White,Summer,,Casual,Nike Men White T-shirt
2288,Women,Topwear,Black,Autumn,,Sports,Nike Women Black T-shirt
2289,Women,Topwear,Blue,Autumn,,Sports,Nike Women Blue T-shirt
2290,Women,Topwear,Pink,Autumn,,Sports,Nike Women SS Pink T-shirt
2291,Men,Topwear,White,Autumn,,Sports,Nike Men White Polo T-shirt
2292,Women,Topwear,Black,Autumn,,Sports,Nike Women Accuracy Black T-shirt
2293,Women,Topwear,Pink,Autumn,,Casual,Nike Women Accuracy Pink T-shirt
2294,Women,Topwear,White,Autumn,,Sports,Nike Women's Miller Top
2295,Women,Topwear,Pink,Autumn,,Sports,Nike Women Cruiser Pink T-shirt
2296,Women,Topwear,Black,Autumn,,Sports,Nike Women DPT Black T-shirt
2297,Women,Topwear,Pink,Autumn,,Sports,Nike Women DPT Pink T-shirt
2298,Men,Topwear,Red,Autumn,,Sports,Nike Mens Core Cotton Red T-shirt
2299,Women,Topwear,Purple,Autumn,,Sports,Nike Women Purple Polo T-shirt
2300,Women,Topwear,Pink,Autumn,,Sports,Nike Women Pink Polo T-shirt
2301,Men,Topwear,White,Autumn,,Sports,Nike Mens Manchester United White T-shirt
2302,Women,Topwear,White,Autumn,,Sports,Nike Women Icon SS White T-shirt
2303,Women,Topwear,Pink,Autumn,,Sports,Nike Women Icon SS Pink T-shirt
2304,Men,Topwear,Red,Summer,,Sports,Nike Men's Manchester United Red T-shirt
2305,Women,Topwear,Blue,Autumn,,Sports,Nike Women Blue Polo T-shirt
2306,Women,Bottomwear,Black,Autumn,,Sports,Nike Women Cuffed Black Capris
2307,Women,Topwear,Purple,Autumn,,Sports,Nike Women Purple Polo T-shirt
2309,Women,Topwear,Blue,Autumn,,Sports,Nike Women Miller Blue T-shirt
2310,Men,Topwear,Red,Autumn,,Sports,Nike Mens Raffel Red T-shirt
2311,Women,Topwear,Pink,Autumn,,Sports,Nike Womens Pink T-shirt
2312,Men,Topwear,White,Autumn,,Sports,Nike Mens White Polo T-shirt
2313,Women,Topwear,White,Autumn,,Sports,Nike Womens Green Polo T-shirt
2314,Men,Topwear,Black,Autumn,,Sports,Nike Mens JDI Black T-shirt
2315,Women,Topwear,Pink,Autumn,,Sports,Nike Womens Cruiser Pink T-shirt
2316,Men,Topwear,Green,Autumn,,Sports,Nike Mens Athletic Green T-shirt
2318,Men,Topwear,Black,Summer,Spring,Sports,Nike Men's Athletic Navy Blue T-shirt
2320,Men,Topwear,Black,Summer,Spring,Sports,Nike Men's Quoted Black T-shirt
2351,Men,Footwear,White,Autumn,,Sports,Reebok Men's Stripe Silver Shoe
2353,Men,Footwear,Grey,Summer,,Sports,Reebok Men Frisky Attraction Grey Shoe
2367,Men,Footwear,Brown,Winter,,Formal,Red Tape Men's Brown Semi Formal Shoe
2368,Men,Footwear,Brown,Winter,,Casual,Red Tape Brown Casual Men's Shoe
2369,Men,Footwear,Brown,Winter,,Casual,Red Tape Casual Brown Men's Shoe
2370,Men,Footwear,Black,Winter,,Formal,Red Tape Men's Semi Black Formal Shoe
2371,Men,Footwear,Brown,Winter,,Casual,Red Tape Semi Casual Brown Shoe
2372,Men,Footwear,Black,Winter,,Formal,Red Tape Formal Black Men's Shoe
2373,Men,Footwear,Brown,Winter,,Formal,Red Tape Brown Formal Men's Shoe
2374,Men,Footwear,Brown,Winter,,Casual,Red Tape Semi Casual Men's Shoe
2375,Men,Footwear,Black,Winter,,Formal,Red Tape Men's Black Semi Formal Shoe
2376,Men,Footwear,Brown,Winter,,Casual,Red Tape Semi Casual Brown Men's Shoe
2377,Men,Footwear,Black,Winter,,Formal,Red Tape Black Men's Shoe
2378,Men,Footwear,Black,Winter,,Formal,Red Tape Men's Brown Shoe
2379,Men,Footwear,Black,Winter,,Formal,Red Tape Men's Black Formal Shoe
2380,Men,Footwear,Black,Winter,,Casual,Red Tape Black Men Semi Casual Shoe
2381,Men,Footwear,Brown,Winter,,Formal,Red Tape Men's Brown Formal Shoe
2382,Men,Footwear,Black,Winter,,Formal,Red Tape Black Men Formal Shoe
2383,Men,Footwear,Black,Winter,,Casual,Red Tape Casual Semi Men's Shoe
2384,Men,Footwear,Black,Winter,,Formal,Red Tape Men Semi Black Formal Shoes
2385,Men,Footwear,Brown,Winter,,Casual,Red Tape Semi Casual Men's Brown Shoe
2387,Men,Footwear,Black,Winter,,Casual,Red Tape Men Casual Black Shoe
2388,Men,Footwear,Brown,Winter,,Casual,Red Tape Men Brown Casual Shoe
2389,Men,Footwear,White,Winter,,Casual,Red Tape Men Casual White Shoe
2390,Men,Footwear,Black,Winter,,Casual,Red Tape Men's Semi Black Casual Shoe
2391,Men,Footwear,Black,Winter,,Formal,Red Tape Men Formal Black Shoe
2393,Men,Footwear,Black,Winter,,Casual,Red Tape Men's Semi Casual Shoe
2394,Men,Footwear,Black,Winter,,Casual,Red Tape Men's Casual Black Shoe
2396,Men,Footwear,Black,Winter,,Casual,Red Tape Black Men Casual Shoe
2397,Men,Footwear,Brown,Winter,,Casual,Red Tape Men's Brown Casual Shoe
2398,Men,Footwear,Black,Winter,,Casual,Red Tape Men's Semi Black Casual Shoe
2399,Men,Footwear,Black,Winter,,Casual,Red Tape Black Men's Semi Casual Shoe
2474,Men,Footwear,Black,Autumn,,Sports,Nike Men's Dual Fusion Black Shoe
2477,Men,Footwear,Blue,Autumn,,Sports,Nike Men's LunarFly Blue Shoe
2487,Men,Footwear,Black,Autumn,,Casual,Puma Men Rio Fashion Black Sandal
2488,Men,Footwear,Black,Autumn,,Casual,Puma Men Diva Fashion Black Sandal
2489,Women,Footwear,White,Autumn,Spring,Sports,Puma Women Commander White Pink Shoe
2490,Women,Footwear,White,Summer,,Casual,Puma Women Commander White Blue Shoe
2494,Men,Footwear,White,Autumn,,Casual,Numero Uno Men's Casual White Flip Flop
2495,Men,Footwear,Black,Autumn,,Casual,Numero Uno Men's Casual White Black Stripe Shoe
2496,Men,Footwear,Black,Autumn,,Casual,Numero Uno Men's Casual White Black Leatherette Shoe
2497,Men,Footwear,Black,Autumn,,Casual,Numero Uno Men's Casual Black Shoes
2498,Men,Footwear,Black,Autumn,,Casual,Numero Uno Men's Casual Black Canvas Shoe
2499,Men,Footwear,Grey,Autumn,,Casual,Numero Uno Men's Casual Grey Canvas Shoe
2500,Men,Footwear,Navy Blue,Autumn,,Casual,Numero Uno Men's Casual Navy Blue Canvas Shoe
2501,Men,Footwear,Red,Autumn,,Casual,Numero Uno Men's Casual Red Canvas Shoe
2502,Men,Footwear,Black,Autumn,,Casual,Numero Uno Men's Casual Canvas Black Shoe
2503,Men,Footwear,Brown,Autumn,,Casual,Numero Uno Men's Casual Brown Canvas Shoe
2504,Men,Footwear,White,Autumn,,Casual,Numero Uno Men's Casual White Canvas Shoe
2505,Men,Footwear,Black,Autumn,,Casual,Numero Uno Men's Casual Black Shoe
2506,Men,Footwear,Brown,Autumn,,Casual,Numero Uno Men's Casual Brown Shoe
2507,Men,Footwear,White,Autumn,,Casual,Numero Uno Men's Casual White Sneakers Shoe
2508,Men,Footwear,Brown,Autumn,,Casual,Numero Uno Men's Casual Brown Shoe
2509,Men,Footwear,Grey,Autumn,,Casual,Numero Uno Men's Casual Grey Shoes
2510,Men,Footwear,Black,Autumn,,Casual,Numero Uno Men's Casual Black Leatherette Shoe
2511,Men,Footwear,Blue,Autumn,,Casual,Numero Uno Men's Casual Blue Leatherette Shoe
2540,Men,Footwear,Blue,Autumn,,Casual,Numero Uno Men's Casual Black Leatherette Shoe
2541,Men,Footwear,White,Summer,,Casual,Numero Uno Men's Casual White Shoe
2542,Men,Footwear,Black,Summer,,Casual,Numero Uno Men's Casual Black Flip Flop
2543,Men,Footwear,Green,Autumn,,Casual,Numero Uno Men's Casual Green Flip Flop
2544,Men,Footwear,Blue,Summer,,Casual,Numero Uno Men's Casual Blue Flip Flop
2545,Men,Footwear,Red,Summer,,Casual,Numero Uno Men's Casual Red Flip Flop
2546,Men,Footwear,Black,Autumn,,Casual,Numero Uno Men's Casual Graphic Black Flip Flop
2547,Men,Footwear,Green,Summer,,Casual,Numero Uno Men's Casual Graphic Green Flip Flop
2548,Men,Footwear,Navy Blue,Autumn,,Casual,Numero Uno Men's Casual Navy Blue Flip Flop
2549,Men,Footwear,Red,Summer,,Casual,Numero Uno Men's Casual Graphic Red Flip Flop
2550,Men,Footwear,Black,Autumn,,Casual,Numero Uno Men's Casual Black Graphic Flip Flop
2551,Men,Footwear,Green,Summer,,Casual,Numero Uno Men's Casual Green Graphic Flip Flop
2552,Men,Footwear,Blue,Autumn,,Casual,Numero Uno Men's Casual Blue Graphic Flip Flop
2553,Men,Footwear,Red,Summer,,Casual,Numero Uno Men's Casual Red Graphic Flip Flop
2608,Women,Footwear,Black,Winter,,Casual,Carlton London Women Contemporary Black Flats
2609,Women,Footwear,Silver,Autumn,Spring,Casual,Carlton London Women Contemporary Silver Sandal
2610,Women,Footwear,Black,Winter,,Casual,Carlton London Women Stylish Black Flats
2611,Women,Footwear,Gold,Winter,,Casual,Carlton London Women Stylish Gold Flats
2612,Women,Footwear,Black,Autumn,Spring,Casual,Carlton London Women Crystal Black Sandal
2613,Women,Footwear,Silver,Autumn,Spring,Casual,Carlton London Women Crystal Silver Sandal
2614,Women,Footwear,Beige,Autumn,Spring,Casual,Carlton London Women Greek Beige Sandal
2616,Women,Footwear,Gold,Autumn,Spring,Sports,Carlton London Women Gold Wedge Sandal
2617,Men,Topwear,Red,Summer,Spring,Sports,Nike Mens Red Bleed Blue T-shirt
2618,Women,Footwear,Silver,Spring,Autumn,Casual,Carlton London Women Silver Wedge Sandal
2619,Men,Topwear,White,Autumn,,Sports,Nike Mens White Bleed Blue T-shirt
2620,Men,Topwear,Blue,Autumn,,Sports,Nike Men's Colors Team India T-shirt
2621,Men,Topwear,Blue,Autumn,,Sports,Nike Men's Bleed blue India Colors T-shirt
2622,Men,Topwear,Blue,Autumn,,Sports,Nike Mens Bleed Blue Team India T-shirt
2623,Women,Footwear,Black,Autumn,Spring,Casual,Carlton London Women Black Sandal
2624,Women,Footwear,Black,Winter,,Casual,Carlton London Women Black Solid Sandals
2625,Women,Footwear,Gold,Autumn,Spring,Casual,Carlton London Women Wedge Gold Sandal
2626,Women,Footwear,Red,Autumn,Spring,Casual,Carlton London Women Red Wedge Sandal
2627,Women,Footwear,Silver,Autumn,Spring,Casual,Carlton London Women Wedge Silver Sandal
2628,Women,Footwear,Gold,Autumn,Spring,Casual,Carlton London Women Four Strapped Gold Sandal
2629,Women,Footwear,Black,Autumn,Spring,Casual,Carlton London Women Four Strapped Black Sandal
2630,Women,Footwear,Red,Autumn,Spring,Casual,Carlton London Women Four Strapped Red Sandal
2631,Women,Footwear,White,Winter,,Casual,Carlton London Women White Ballerinas
2632,Women,Footwear,Pink,Autumn,Spring,Casual,Carlton London Women Pink Ballerinas Shoe
2633,Men,Footwear,Black,Summer,,Smart Casual,Carlton London Men Black Leather Casual Shoes.
2634,Men,Footwear,Beige,Autumn,,Casual,Carlton London Men Beige Strapped Sandal
2635,Men,Footwear,White,Autumn,,Sports,Carlton London Men White Strapped Sandal
2636,Men,Footwear,Brown,Autumn,,Casual,Carlton London Men Brown Strapped Sandal
2637,Men,Footwear,Black,Winter,,Formal,Carlton London Men's Semi Formal Black Shoe
2638,Men,Footwear,Brown,Autumn,,Formal,Carlton London Men's Semi Formal Coffee Shoe
2639,Men,Footwear,Brown,Autumn,,Formal,Carlton London Men's Formal Brown Shoe
2640,Men,Footwear,Brown,Winter,,Formal,Carlton London Men Brown Formal Shoes
2641,Men,Footwear,Brown,Autumn,,Casual,Carlton London Men's Casual Brown Shoe
2642,Men,Footwear,Black,Autumn,,Formal,Carlton London Men Semi Formal Black Shoe
2691,Boys,Bottomwear,Blue,Summer,,Casual,Disney Kids Boy's Mickey Blue Denim Kidswear
2693,Boys,Topwear,Yellow,Summer,,Casual,Disney Kids Boy's Yellow Kidswear
2694,Boys,Topwear,Red,Summer,,Casual,Disney Kids Boy's Red Twofur Layered Kidswear
2695,Boys,Topwear,White,Summer,,Casual,Disney Kids Boy's Baby Mickey Surf Kidswear
2697,Girls,Dress,Blue,Summer,,Casual,Disney Kids Girl's Blue Pooh Kidswear
2699,Girls,Dress,Pink,Summer,,Casual,Disney Kids Girls Disney girl pink pooh top Kidswear
2700,Girls,Topwear,White,Summer,,Casual,Disney Kids Girl's White Kidswear
2701,Girls,Topwear,Yellow,Summer,,Casual,Disney Kids Girl's Yellow Daisy Kidswear
2702,Girls,Topwear,Blue,Summer,,Casual,Disney Kids Girl's Blue Check Kidswear Shirt
2703,Girls,Topwear,Pink,Summer,,Casual,Disney Kids Girl's Check Pink Kidswear
2704,Girls,Dress,White,Summer,,Casual,Disney Kids Girl's White Pooh Kidswear
2705,Girls,Dress,Blue,Summer,,Casual,Disney Kids Girl's Blue Pooh Blouse Kidswear
2706,Girls,Topwear,Pink,Summer,,Casual,Disney Kids Girl's Pink Pooh Kidswear
2707,Girls,Dress,Pink,Summer,,Casual,Disney Kids Girl's Dress Pink Pooh Kidswear
2708,Girls,Dress,White,Summer,,Casual,Disney Kids Girl's White Dress Pooh Kidswear
2710,Girls,Dress,White,Summer,,Casual,Disney Kids Girl's White Daisy Kidswear
2711,Girls,Dress,Pink,Summer,,Casual,Disney Kids Girl's Halter Neck Pink Kidswear
2712,Girls,Dress,Blue,Summer,,Casual,Disney Kids Girl's Halter Neck Blue Kidswear
2715,Girls,Topwear,Orange,Summer,,Casual,Disney Kids Girl's Minnie Orange Stripped Kidswear
2716,Girls,Topwear,Red,Summer,,Casual,Disney Kids Girl's Minnie Red Stripped Kidswear
2717,Girls,Topwear,Blue,Summer,,Casual,Disney Kids Girls  Kidswear
2718,Girls,Topwear,Red,Summer,,Casual,Disney Kids Girl's Red Pooh Kidswear
2719,Boys,Bottomwear,Blue,Summer,,Casual,Disney Kids Boy's Tiger Print Denim Pants
2720,Boys,Bottomwear,Blue,Summer,,Casual,Disney Kids Boy's Mickey Mouse Print Pants
2722,Boys,Bottomwear,Blue,Summer,,Casual,Disney Kids Boy's Denim Mickey Surf Kidswear
2724,Boys,Topwear,White,Summer,,Casual,Disney Kids Boy's White Red Kidswear
2727,Boys,Topwear,Yellow,Summer,,Casual,Disney Kids Boy's Yellow Polo Tshirt
2728,Girls,Topwear,Pink,Summer,,Casual,Disney Kids Girl's Pink & White Pooh Kidswear
2730,Girls,Topwear,Red,Summer,,Casual,Disney Kids Girl's Red Round Neck Kidswear
2732,Girls,Topwear,White,Summer,,Casual,Disney Kids Girl's White Round Neck Kidswear
2737,Girls,Topwear,Red,Summer,,Casual,Disney Kids Girl's Red Kidswear
2800,Men,Footwear,Brown,Autumn,,Casual,iD Men's Casual Strapped Leather Brown Shoe
2801,Men,Footwear,Black,Autumn,,Casual,iD Men Casual Leather Black Sandal
2802,Men,Footwear,Multi,Autumn,,Casual,iD Men Casual Leather Tmber Sandal
2803,Men,Footwear,Beige,Autumn,,Casual,iD Men Casual Leather/Felt Beige Sandal
2805,Men,Footwear,Black,Autumn,,Casual,iD Men Casual Leather/Felt Charcoal Sandal
2807,Men,Footwear,Brown,Autumn,,Casual,iD Men's Casual Leather Brown Funky Shoe
2809,Men,Footwear,Black,Autumn,,Casual,iD Men's Casual Leather Charcoal Funky Shoe
2812,Men,Footwear,Black,Autumn,,Casual,iD Men's Graphic Black Shoe
2814,Men,Footwear,White,Autumn,,Casual,iD Men's Leather Timber White Graphic Shoe
2817,Men,Footwear,Black,Summer,,Casual,Lee Cooper Men's Casual Leather Black Shoe
2820,Men,Footwear,Black,Summer,,Formal,Lee Cooper Men Formal Leather Black Sandal
2821,Men,Footwear,Brown,Summer,,Formal,Lee Cooper Men Formal Leather Brown Sandal
2822,Men,Footwear,Black,Summer,,Casual,Lee Cooper Men's Casual Felt Black Shoe
2823,Men,Footwear,Black,Summer,,Formal,Lee Cooper Men's LC Formal Leather Black Shoe
2824,Men,Footwear,Black,Summer,,Formal,Lee Cooper Men's Formal Leather Slip-On Black Shoe
2825,Men,Footwear,Black,Summer,,Formal,Lee Cooper Men Leather Semi Formal Black Shoe
2826,Men,Footwear,Brown,Summer,,Formal,Lee Cooper Men Leather Semi Formal Brown Shoe
2827,Men,Footwear,Black,Winter,,Formal,Lee Cooper Men's Formal Simpleton Black Shoe
2828,Men,Footwear,Blue,Summer,,Casual,Lee Cooper Men's LC Casual Denim Blue Shoe
2830,Men,Footwear,Black,Summer,,Casual,Lee Cooper Men's Casual Canvas Black Shoe
2831,Men,Footwear,Blue,Summer,,Casual,Lee Cooper Men's Casual Blue Canvas Shoe
2832,Men,Footwear,Maroon,Summer,,Casual,Lee Cooper Men's Casual Brick Canvas Shoe
2833,Men,Footwear,Black,Summer,,Casual,Lee Cooper Men's Casual Leather Darknight Black Shoe
2834,Men,Footwear,Black,Summer,,Formal,Lee Cooper Men's Slip On Darknight Black Shoe
2869,Men,Footwear,White,Autumn,,Casual,iD Men's Denim White Graphic Shoe
2870,Women,Footwear,Red,Winter,,Ethnic,Catwalk Women Ethnic Red Heels
2872,Women,Footwear,Brown,Winter,,Casual,Catwalk Women Leather Flats
2874,Women,Footwear,Black,Winter,,Casual,Catwalk Women Black Heels
2876,Women,Footwear,Black,Winter,,Casual,Catwalk Women Party Heeled Strap Black Heels
2877,Women,Footwear,Brown,Winter,,Casual,Catwalk Women Rose Mary Flats
2878,Women,Footwear,Brown,Winter,,Casual,Catwalk Women Royalty Brown Flats
2879,Women,Footwear,Blue,Winter,,Casual,Catwalk Women Blue Heels
2880,Women,Footwear,Grey,All,,Formal,Catwalk Women Leather Formal Grey Heels
2882,Women,Footwear,Black,Winter,,Casual,Catwalk Women Leather Slip-Ons Black Flats
2885,Women,Footwear,Beige,Winter,,Casual,Catwalk Women Leather Cut Boot Beige Flats
2886,Women,Footwear,Brown,Winter,,Casual,Catwalk Women Leather Brown Flats
2887,Women,Footwear,Beige,Winter,,Casual,Catwalk Women Black Ballerinas
